"YEAR","CASEID","REGION","FAMINCOME","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","CITIZEN","BPL","EDUCYRS","EMPSTAT","FULLPART","KIDUND18","ACT_CAREHH","ACT_CARENHH","ACT_EDUC","ACT_FOOD","ACT_HHACT","ACT_PCARE","ACT_PHONE","ACT_PROFSERV","ACT_PURCH","ACT_RELIG","ACT_SOCIAL","ACT_SPORTS","ACT_TRAVEL","ACT_VOL","ACT_WORK","BLS_PCARE_SLEEP","Sleep_Time","Time_Use"
2020,20200101201975,1,7,1,1,4459951.859086,68,2,100,6,1,9900,214,1,1,0,0,0,0,75,10,475,0,0,0,60,220,0,90,0,510,465,465,1440
2020,20200101201983,2,16,1,1,5741528.17386,38,2,100,1,1,9900,217,1,1,1,137,0,0,45,40,510,0,0,0,0,165,30,80,0,433,465,465,1440
2020,20200101202001,4,16,1,1,2.3718572194773E7,31,1,131,1,5,52100,316,1,1,0,0,0,0,30,30,475,0,0,0,0,236,45,4,0,455,450,450,1275
2020,20200101202027,3,13,1,1,1.1070133886243E7,32,1,100,6,1,9900,217,1,1,0,0,0,0,15,0,540,0,0,0,0,160,0,35,150,540,540,540,1440
2020,20200101202032,2,15,1,1,4236750.020782,36,1,100,1,1,9900,217,1,1,1,0,0,0,75,0,645,0,0,0,0,360,0,10,230,20,600,600,1340
2020,20200101202046,2,15,1,1,2923449.363747,59,1,100,1,1,9900,217,1,1,1,0,0,0,60,0,600,0,0,60,0,500,0,40,0,120,600,600,1380
2020,20200101202107,1,15,1,1,6653751.863596,56,1,100,4,1,9900,217,1,1,0,0,0,0,0,0,810,0,0,0,0,180,0,0,0,450,375,375,1440
2020,20200101202178,1,3,1,1,2924959.352049,59,2,110,6,4,26030,216,4,99,0,0,0,0,20,70,565,0,0,0,661,0,0,124,0,0,440,440,1440
2020,20200101202240,4,15,1,1,5844080.557335,52,2,100,1,1,9900,214,5,99,1,0,0,0,45,95,442,0,15,206,0,34,0,453,0,0,367,367,1290
2020,20200101202252,4,14,1,1,9017829.112303,59,1,100,4,1,9900,214,1,1,0,0,0,0,45,390,542,0,0,130,75,150,0,108,0,0,517,517,1440
2020,20200110190084,2,15,1,1,3.4210272112949E7,39,1,100,1,1,9900,213,1,1,1,132,0,0,55,15,449,0,0,5,0,50,77,126,0,530,394,394,1439
2020,20200110190691,4,16,1,1,1.3603401478186E7,40,1,100,1,1,9900,109,1,1,1,0,0,0,50,120,465,0,0,0,0,115,0,230,0,460,420,420,1440
2020,20200110190781,2,13,1,1,9226470.274474,51,2,100,1,1,9900,112,1,1,0,0,0,0,30,0,990,0,0,0,0,420,0,0,0,0,989,989,1440
2020,20200110190880,3,8,1,1,7589897.723356,55,1,100,1,1,9900,109,2,2,0,0,0,0,50,275,690,0,0,0,0,422,0,3,0,0,660,660,1440
2020,20200110190896,3,15,1,1,5253762.764962,39,1,100,6,1,9900,217,1,1,0,0,0,0,40,495,630,0,0,20,0,255,0,0,0,0,600,600,1440
2020,20200110190981,1,13,1,1,6280381.548491,32,2,100,1,5,20000,112,1,2,1,45,0,0,52,180,645,0,0,0,120,240,0,8,0,0,555,555,1290
2020,20200110191038,3,8,1,1,1718871.722181,77,2,100,4,1,9900,213,5,99,0,0,0,0,20,0,745,0,0,0,385,220,0,55,0,0,655,655,1425
2020,20200110191107,2,12,1,1,8222620.509663,29,1,100,6,1,9900,217,1,1,0,0,0,0,190,50,570,0,0,45,0,305,120,100,0,30,525,525,1410
2020,20200110191249,1,15,1,1,2.0948326111275E7,31,1,100,1,1,9900,316,2,1,0,0,0,0,60,0,810,0,60,0,0,300,0,210,0,0,810,810,1440
2020,20200110191270,2,10,1,1,3523045.116333,32,2,200,6,1,9900,112,1,1,1,190,0,0,50,365,625,0,0,120,0,60,0,30,0,0,545,545,1440
2020,20200110191335,3,15,1,1,1.5783264141704E7,24,1,100,6,1,9900,214,4,99,0,0,0,0,25,0,690,0,0,30,0,685,0,10,0,0,690,690,1440
2020,20200110191477,3,12,1,1,9303926.449483,23,2,100,6,1,9900,217,1,1,0,0,0,0,20,0,990,0,0,30,0,360,0,40,0,0,815,815,1440
2020,20200110191538,2,16,1,1,3807569.196448,33,2,131,1,5,50000,321,1,1,1,0,0,0,180,70,510,0,0,0,0,600,0,20,0,0,510,510,1380
2020,20200110191855,4,1,1,1,1.4757408953714E7,64,1,110,6,1,9900,111,5,99,0,0,0,0,30,30,690,0,0,5,0,640,15,30,0,0,690,690,1440
2020,20200110192022,1,15,1,1,1.82853285331E7,24,1,100,6,1,9900,217,1,1,0,0,0,0,30,180,780,0,0,50,0,390,0,10,0,0,780,780,1440
2020,20200110192026,4,15,1,1,9873403.349885,23,1,131,6,1,9900,214,5,99,0,0,0,180,60,1,735,0,0,0,0,284,0,0,0,0,705,705,1260
2020,20200110192132,3,10,1,1,8855935.523567,63,2,131,1,4,50000,214,5,99,0,0,0,0,120,90,510,60,0,0,0,520,120,20,0,0,510,510,1440
2020,20200111190018,1,14,1,1,1.9991655284798E7,59,1,110,6,1,9900,214,1,1,0,0,0,0,95,45,505,0,0,0,0,210,0,95,0,490,460,460,1440
2020,20200111190121,3,16,1,1,8625381.810551,46,1,210,4,1,9900,213,1,1,1,0,15,0,270,125,327,0,0,60,0,555,60,13,0,15,267,267,1440
2020,20200111190124,1,16,1,1,1.1158921208058E7,37,1,100,1,1,9900,217,1,1,0,0,0,0,180,60,730,0,0,60,0,359,0,51,0,0,690,690,1440
2020,20200111190126,3,5,1,1,1.944196686023E7,36,1,100,6,1,9900,112,1,1,0,0,0,0,30,30,500,0,0,10,0,135,0,19,0,716,455,455,1440
2020,20200111190133,3,12,1,1,8544187.530037,68,2,100,3,1,9900,316,5,99,0,0,80,0,115,180,425,30,0,60,0,255,60,115,0,0,340,340,1320
2020,20200111190136,3,7,1,1,1.4427383462226E7,49,2,100,1,5,30025,217,1,2,0,0,0,300,15,150,540,0,0,0,0,60,0,60,0,315,420,420,1440
2020,20200111190524,4,15,1,1,2.814608294563E7,23,1,100,6,1,9900,217,1,1,0,0,0,180,125,0,560,0,0,10,0,485,30,50,0,0,510,510,1440
2020,20200111190532,4,11,1,1,9494430.609015,54,1,100,4,1,9900,112,1,1,0,0,0,0,15,0,475,0,0,20,0,315,0,49,0,566,450,450,1440
2020,20200111190541,2,16,1,1,4097900.84143,38,1,100,1,1,9900,217,1,1,1,630,0,0,15,45,540,0,0,0,0,30,0,0,0,180,535,535,1440
2020,20200111190545,3,11,1,1,8027114.818626,32,1,100,6,2,11000,217,1,1,1,120,0,0,30,10,285,0,0,0,0,165,0,100,0,730,255,255,1440
2020,20200111190558,4,15,1,1,1.3178918146958E7,51,2,131,1,5,50220,213,1,1,1,20,0,0,90,80,625,0,0,0,0,80,0,95,0,450,545,545,1440
2020,20200111190564,3,9,1,1,4976931.490931,51,2,100,4,1,9900,217,1,1,1,0,0,0,30,430,540,0,0,90,0,120,0,100,0,130,540,540,1440
2020,20200111190566,1,11,1,1,1.0879958905143E7,62,1,100,1,1,9900,217,5,99,0,0,0,0,90,225,480,90,0,0,60,255,120,0,0,0,480,480,1320
2020,20200111190573,3,8,1,1,1.2219695725894E7,24,1,110,1,1,9900,112,4,99,1,0,0,0,30,930,90,0,0,0,0,370,0,20,0,0,0,0,1440
2020,20200111190584,3,14,1,1,1.1513232416534E7,61,1,110,1,1,9900,112,1,1,0,0,0,0,60,0,370,0,0,0,0,170,0,75,0,765,360,360,1440
2020,20200111190600,4,1,1,1,2062746.917459,45,1,131,5,3,51800,214,1,1,1,0,0,0,60,570,480,60,0,0,0,270,0,0,0,0,480,480,1440
2020,20200111190618,4,10,1,1,1.4100767935169E7,28,1,100,6,1,9900,112,1,1,1,90,0,0,15,7,551,0,0,0,0,240,50,7,0,480,491,491,1440
2020,20200111190629,2,14,1,1,8823809.815946,31,2,100,1,1,9900,217,1,1,1,43,0,0,60,165,565,0,0,15,0,60,45,32,0,455,520,520,1440
2020,20200111190637,2,6,1,1,1787803.418566,67,2,100,4,1,9900,214,5,99,0,0,0,0,180,60,615,0,0,0,365,60,0,100,0,0,475,475,1380
2020,20200111190672,2,11,1,1,1.254852066981E7,46,1,100,4,5,20000,109,1,2,0,0,0,0,30,90,690,0,0,0,0,315,0,35,0,280,660,660,1440
